酒店名称,fishtrip_id,mddid_old,mddid_get,poiid_get,国家
日安宝贝民宿,9DUBFythHhM,21434,27771,8285761,台湾
东港芳邻民宿,Hk-W8UJNdHY,27771,27771,8088610,台湾
垦丁春聚会馆,VaFIQe2HxnA,21434,10765,5533806,台湾
垦丁芙宝屋民宿,t2g0ySl-MPs,21434,11065,5533834,台湾
垦丁海神堡民宿,xnsOYY-juEM,27771,27771,8283106,台湾
垦丁慕兰旅店,yw3xyh1LlmE,27771,27771,8073812,台湾
东港六号民宿,MJU7rvd9ZBc,27771,10765,6582333,台湾
YOHO悠活度假村,DidbHnZPPf8,27771,21434,6101980,台湾
牡丹湾,CeLmOPFD5xo,27771,27771,6102005,台湾
东门50巷民宿,CgeUX8UZgn4,21434,27771,8283040,台湾
垦丁潜庄度假中心,-ol1gA6V4vY,21434,27771,7728786,台湾
垦丁亿园民宿,P-dA7k4f1MM,21434,27771,8286245,台湾
梦想南湾民宿,NTPf6NFhe-s,21434,27771,8282636,台湾
垦丁21.5主题民宿,lH1-xi3poVA,21434,27771,7005968,台湾
杉山,4DeePzmOxhQ,21434,27771,8295781,台湾
温馨的家民宿,DH4E8USKOP4,21434,27771,8080241,台湾
57Villa民宿,5H8gAU4CXPc,21434,11065,8280711,台湾
阿德安呢民宿,v24PLJc5ff4,21434,27771,6495636,台湾
 大鼻旅店民宿,CRF2sO_qFPA,21434,27771,8285883,台湾
欧悦时尚汽车旅馆屏东馆,P8iMz3iNBJI,27771,27771,7006225,台湾
大尖山风情会馆,YQleDeAycmE,21434,11065,7900937,台湾
悠客马术度假村,NwxccrOi6Uo,27771,27771,8089082,台湾
彩虹波浪冲浪背包旅店,MmLYzZ1ypjs,21434,27771,7693035,台湾
恒农假期度假饭店,M2E572gIF_A,21434,11065,6558148,台湾
梦想家 垦丁希腊旅店,t2IPwRMaHRg,21434,27771,6265131,台湾
山水心旅栈,73ed5qs515E,21434,11042,8078629,台湾
海晴天旅店,coNg2j0cjeg,21434,27771,6581798,台湾
垦丁优圣美地渡假村,vWQXbfWN2vk,21434,21434,8285967,台湾
绿院子民宿,QM8_ask8gyo,21434,21434,7928099,台湾
垦丁风_里旅人民宿,KnEu8TRqZZA,21434,11065,6101947,台湾
垦丁博士家旅店,q2ikcer8oy8,27771,21434,8477323,台湾
垦丁水澜漾野,gJWH-FQWyBM,21434,21434,7350813,台湾
171幸福旅店民宿,PnNSrT47mgc,27771,21434,8073830,台湾
垦丁云起会馆,CddAW4zEa9c,21434,27771,6581745,台湾
棕榈小筑民宿,fgW_ia_nGhw,21434,27771,6101932,台湾
蓝与白美宿馆,0-v3hAoRD28,21434,11042,8283903,台湾
苹果咬一口CASA,7BvLhk8veqI,21434,27771,6258207,台湾
苗栗向阳田园,Vlt06CXwWtY,25327,25327,8285406,台湾
苗栗山居兰园,VLuJMOvTb0s,25327,11065,8286377,台湾
红砖屋特色民宿,rgomWJWt-H4,25327,11065,8282840,台湾
苗栗柿子红了,BGFLkm0Wnk4,25327,25327,6492898,台湾
眉山居民宿,w04mzOWj_Vk,25327,25327,6492869,台湾
楚留香民宿,owCXdYmCDcA,25327,11065,92315,台湾
